epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1985.31,0.92989,0.63804,1.1668,0.50366,0.36429,0.34458,0.14152,2.60709,2.83066,2.92821,0.000785127,0.000785127,0.000785127
86,2008.49,0.9139,0.62492,1.16457,0.38868,0.41601,0.39294,0.1728,2.60238,2.74811,2.97502,0.000775694,0.000775694,0.000775694
87,2031.6,0.90585,0.62912,1.16186,0.48038,0.43117,0.4145,0.17551,2.61853,2.47687,2.96536,0.000766226,0.000766226,0.000766226
88,2054.61,0.89485,0.61173,1.1655,0.41848,0.40761,0.39542,0.17226,2.61097,2.58044,2.98814,0.000756725,0.000756725,0.000756725
89,2077.65,0.91904,0.63663,1.17214,0.44367,0.47376,0.41256,0.19604,2.48989,2.45952,2.80874,0.000747192,0.000747192,0.000747192
90,2100.83,0.88799,0.60195,1.14681,0.41941,0.46462,0.39202,0.18201,2.56375,2.56804,2.86529,0.000737631,0.000737631,0.000737631
91,2124.05,0.89711,0.60775,1.14626,0.50344,0.39635,0.39727,0.20533,2.45866,2.58374,2.86174,0.000728044,0.000728044,0.000728044
92,2147.23,0.8804,0.6062,1.1495,0.63798,0.256,0.33195,0.14232,2.5679,2.89984,2.8732,0.000718433,0.000718433,0.000718433
93,2170.4,0.89594,0.61598,1.15231,0.24595,0.2896,0.2553,0.10119,2.71571,2.71503,3.12894,0.0007088,0.0007088,0.0007088
94,2193.53,0.87808,0.59581,1.14276,0.45788,0.4223,0.36962,0.15997,2.75944,2.76029,3.13825,0.000699148,0.000699148,0.000699148
95,2216.68,0.8804,0.59581,1.14794,0.45641,0.41253,0.40068,0.16751,2.6099,2.43776,3.1025,0.00068948,0.00068948,0.00068948
96,2239.96,0.88853,0.6058,1.14693,0.44059,0.45546,0.38942,0.20063,2.63592,2.57581,3.04436,0.000679797,0.000679797,0.000679797
97,2263.07,0.85917,0.57557,1.12678,0.49629,0.435,0.41306,0.19551,2.60342,2.62836,2.87947,0.000670102,0.000670102,0.000670102
98,2286.19,0.87816,0.6004,1.14212,0.5226,0.37552,0.40909,0.19403,2.61266,2.58145,3.02118,0.000660397,0.000660397,0.000660397
99,2309.28,0.85262,0.57597,1.12528,0.37707,0.44394,0.37951,0.16312,2.60836,2.79542,3.02576,0.000650685,0.000650685,0.000650685
100,2332.62,0.84591,0.55651,1.11496,0.451,0.44265,0.40808,0.21091,2.55824,2.61456,2.93841,0.000640969,0.000640969,0.000640969
101,2356.26,0.83654,0.5701,1.1221,0.37824,0.37189,0.34846,0.17573,2.62712,2.7237,2.95376,0.00063125,0.00063125,0.00063125
102,2379.57,0.83668,0.56357,1.11869,0.45434,0.41365,0.39521,0.21602,2.53649,2.41559,2.9436,0.000621531,0.000621531,0.000621531
103,2403.11,0.8441,0.56203,1.11293,0.47411,0.41256,0.40308,0.16388,2.71246,2.61533,3.01081,0.000611815,0.000611815,0.000611815
104,2426.38,0.83239,0.56035,1.11842,0.48599,0.38338,0.40173,0.18909,2.65323,2.73814,2.97378,0.000602103,0.000602103,0.000602103
105,2449.63,0.83654,0.56078,1.11807,0.41667,0.36479,0.36274,0.1461,2.6839,2.81392,3.04826,0.000592398,0.000592398,0.000592398
106,2473.07,0.8503,0.56988,1.1353,0.60444,0.34258,0.39145,0.17096,2.59175,2.79316,3.05776,0.000582703,0.000582703,0.000582703
107,2496.31,0.84106,0.57792,1.13185,0.36831,0.50984,0.39076,0.16366,2.66913,2.83976,3.0524,0.00057302,0.00057302,0.00057302
108,2519.54,0.83173,0.55365,1.11505,0.43128,0.49756,0.41342,0.1818,2.59511,2.40204,2.99281,0.000563352,0.000563352,0.000563352
109,2542.86,0.81638,0.54602,1.10635,0.39985,0.45531,0.40865,0.1694,2.75706,2.64324,3.16265,0.0005537,0.0005537,0.0005537
110,2566.1,0.82863,0.56636,1.12181,0.35856,0.46745,0.39365,0.17263,2.72068,2.60906,3.01344,0.000544067,0.000544067,0.000544067
111,2589.48,0.82577,0.54478,1.10149,0.37921,0.4215,0.37012,0.15891,2.61672,2.74116,2.88707,0.000534456,0.000534456,0.000534456
112,2612.71,0.81959,0.54967,1.11528,0.41763,0.38298,0.37,0.15789,2.76551,2.763,3.10816,0.000524869,0.000524869,0.000524869
113,2636.08,0.82623,0.5556,1.11294,0.50484,0.46086,0.42879,0.165,2.70899,2.6813,3.08346,0.000515308,0.000515308,0.000515308
114,2659.36,0.8231,0.5481,1.11663,0.60395,0.34587,0.41161,0.17462,2.67389,2.71948,2.99544,0.000505775,0.000505775,0.000505775
115,2682.64,0.80025,0.52966,1.09771,0.45671,0.40421,0.39825,0.17077,2.65454,2.65522,2.90956,0.000496274,0.000496274,0.000496274
116,2706.04,0.80204,0.54013,1.0982,0.41177,0.43015,0.38853,0.16724,2.63765,2.65785,2.98621,0.000486806,0.000486806,0.000486806
117,2729.32,0.81728,0.56413,1.1188,0.49276,0.40269,0.41555,0.1843,2.63295,2.46007,2.9975,0.000477373,0.000477373,0.000477373
118,2752.56,0.79443,0.54315,1.10079,0.4785,0.46163,0.42531,0.20835,2.60348,2.63394,2.95456,0.000467979,0.000467979,0.000467979
119,2775.84,0.81041,0.54487,1.11315,0.40191,0.45229,0.40655,0.18378,2.73472,2.68162,3.05393,0.000458624,0.000458624,0.000458624
120,2799.23,0.80404,0.52838,1.09706,0.42913,0.44143,0.39333,0.16329,2.72354,2.74615,3.04951,0.000449313,0.000449313,0.000449313
121,2822.79,0.77535,0.50555,1.08252,0.47326,0.4273,0.39213,0.17387,2.72262,2.71764,3.11757,0.000440046,0.000440046,0.000440046
122,2846.25,0.7871,0.5144,1.09014,0.4856,0.38604,0.40593,0.18161,2.59565,2.75929,2.86928,0.000430826,0.000430826,0.000430826
123,2869.86,0.78136,0.53794,1.09614,0.51572,0.37956,0.41135,0.18764,2.56693,2.65284,2.96128,0.000421656,0.000421656,0.000421656
124,2893.1,0.76963,0.52014,1.08932,0.33207,0.39832,0.36117,0.1493,2.63071,2.82699,3.01687,0.000412537,0.000412537,0.000412537
125,2916.21,0.7637,0.50567,1.08304,0.36029,0.42249,0.36852,0.17178,2.61146,2.71038,2.98499,0.000403473,0.000403473,0.000403473
126,2939.45,0.77467,0.51953,1.09036,0.35623,0.43444,0.39269,0.17156,2.62027,2.65565,3.02031,0.000394465,0.000394465,0.000394465
